Año,Clave,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,9002,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
2015,9002,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0
2015,9002,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo a negocio,Con violencia,14,12.0,8.0,10.0,10.0,8.0,5.0,14.0,13.0,17.0,12.0,18.0
2015,9002,El patrimonio,Robo,Robo a negocio,Sin violencia,61,66.0,52.0,59.0,75.0,59.0,58.0,72.0,81.0,52.0,69.0,57.0
2015,9002,El patrimonio,Robo,Robo de ganado,Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Otros robos,Con violencia,4,10.0,4.0,8.0,3.0,11.0,11.0,6.0,15.0,12.0,6.0,6.0
2015,9002,El patrimonio,Robo,Otros robos,Sin violencia,99,108.0,101.0,108.0,120.0,98.0,135.0,115.0,89.0,102.0,84.0,78.0
2015,9002,El patrimonio,Fraude,Fraude,Fraude,63,61.0,47.0,49.0,49.0,55.0,46.0,41.0,47.0,36.0,32.0,38.0
2015,9002,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,16,13.0,10.0,14.0,13.0,7.0,26.0,13.0,15.0,14.0,14.0,11.0
2015,9002,El patrimonio,Extorsión,Extorsión,Extorsión,2,3.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,0.0
2015,9002,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,30,35.0,32.0,27.0,44.0,46.0,52.0,38.0,50.0,52.0,37.0,46.0
2015,9002,El patrimonio,Despojo,Despojo,Despojo,8,11.0,8.0,8.0,11.0,13.0,29.0,19.0,12.0,13.0,15.0,12.0
2015,9002,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,La familia,Violencia familiar,Violencia familiar,Violencia familiar,76,68.0,83.0,83.0,99.0,105.0,95.0,73.0,64.0,77.0,92.0,71.0
2015,9002,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
